scenario_id,event_id,event_type,target,start_time,end_time,actionable,root_cause_event_id,maintenance,expected_severity,expected_receiver,description
P1,P1-E1,short_spike,fw01,2026-04-06 09:25:00,2026-04-06 09:30:00,False,,False,none,none,單一取樣 spike，不值得通知人
P1,P1-E2,persistent_anomaly,fw01,2026-04-06 09:45:00,2026-04-06 10:10:00,True,,False,warning,chat,持續超標，應通過 persistence gate
P1,P1-E3,threshold_flapping,fw01,2026-04-06 10:20:00,2026-04-06 10:40:00,True,,False,warning,chat,門檻附近震盪，用來觀察狀態轉換
P2,P2-E1,multi_signal_incident,fw01,2026-04-07 09:30:00,2026-04-07 11:30:00,True,,False,critical,pager,同一 incident 依序觸發 Mahalanobis、LOF 與 packet loss
P3,P3-E1,firewall_down,fw01,2026-04-08 09:30:00,2026-04-08 11:00:00,True,,False,critical,pager,根因：防火牆停止服務
P3,P3-E2,web_down,web01,2026-04-08 09:40:00,2026-04-08 11:00:00,True,P3-E1,False,critical,suppressed,下游症狀：Web 服務停止
P3,P3-E3,db_down,db01,2026-04-08 09:50:00,2026-04-08 11:00:00,True,P3-E1,False,critical,suppressed,下游症狀：Database 服務停止
P4,P4-E1,warning_anomaly,fw01,2026-04-09 09:25:00,2026-04-09 09:50:00,True,,False,warning,chat,一般時段 warning，送往 chat
P4,P4-E2,critical_packet_loss,fw01,2026-04-09 10:00:00,2026-04-09 10:20:00,True,,False,critical,pager,一般時段 critical，送往 pager
P4,P4-E3,maintenance_anomaly,fw01,2026-04-09 10:40:00,2026-04-09 11:15:00,False,,True,critical,suppressed,維護期間 detector 仍觸發，但 notification 應被 Silence
full_incident,F-E1,short_spike,fw01,2026-04-10 09:25:00,2026-04-10 09:30:00,False,,False,none,none,綜合案例的短暫 spike
full_incident,F-E2,persistent_anomaly,fw01,2026-04-10 09:40:00,2026-04-10 10:25:00,True,,False,warning,chat,綜合案例的 persistence 與 flapping
full_incident,F-E3,multi_signal_incident,fw01,2026-04-10 10:30:00,2026-04-10 11:40:00,True,,False,critical,pager,綜合案例的多 signal incident
full_incident,F-E4,firewall_down,fw01,2026-04-10 11:50:00,2026-04-10 13:10:00,True,,False,critical,pager,綜合案例的防火牆根因
full_incident,F-E5,web_down,web01,2026-04-10 12:00:00,2026-04-10 13:10:00,True,F-E4,False,critical,suppressed,綜合案例的 Web 症狀
full_incident,F-E6,db_down,db01,2026-04-10 12:10:00,2026-04-10 13:10:00,True,F-E4,False,critical,suppressed,綜合案例的 Database 症狀
full_incident,F-E7,maintenance_anomaly,fw01,2026-04-10 13:15:00,2026-04-10 13:40:00,False,,True,critical,suppressed,綜合案例的維護時段異常
