event_id,event_type,port_id,start_time,periods_5min,description,end_time
A,business_traffic_growth,port-id7430,2026-02-04 09:00,24,正常業務流量增加,2026-02-04 10:55:00
B,small_packet_scan,port-id7428,2026-02-06 13:10,10,大量小封包 / 掃描,2026-02-06 13:55:00
C,large_file_backup,port-id7431,2026-02-08 01:00,36,大檔案傳輸 / 備份,2026-02-08 03:55:00
D,queue_congestion,port-id7427,2026-02-11 15:20,14,頻寬壅塞 / Queue 滿,2026-02-11 16:25:00
E,link_quality_issue,port-id7429,2026-02-14 10:35,8,線路品質問題,2026-02-14 11:10:00
F,load_sensitive_link_issue,port-id7427,2026-02-17 16:00,18,高負載下線路不穩,2026-02-17 17:25:00
G,broadcast_storm,MULTI,2026-02-19 11:30,12,Broadcast Storm / L2 Loop,2026-02-19 12:25:00
H,multicast_flooding,MULTI,2026-02-22 20:05,18,Multicast Flooding,2026-02-22 21:30:00
I,abnormal_device_sender,port-id7430,2026-02-25 09:45,16,異常設備大量發送,2026-02-25 11:00:00
J,unknown_protocol_scan,port-id7428,2026-02-27 14:15,10,Unknown Protocol,2026-02-27 15:00:00
K,batch_egress_saturation,port-id7427,2026-02-26 20:00,109,月結簡訊大量送出 / 出口飽和,2026-02-27 05:00:00
K_BENIGN,benign_batch_ramp,port-id7427,2026-02-25 20:00,109,良性的簡訊大量送出 / 對照組 (不應告警),2026-02-26 05:00:00
M,quote_push_batch_ramp,port-id7429,2026-02-24 20:00,91,除權息旺季行情推播預熱爬坡 / 保留測試集 (不得用於調參),2026-02-25 03:30:00
N,benign_capacity_growth,port-id7430,2026-02-05 00:00,4032,多週良性容量成長 / 趨勢上移但季節形狀不變 (不應告警),2026-02-18 23:55:00
P,batch_window_overrun,port-id7431,2026-02-20 22:00,538,日終對帳逐日長大且結束時間後移 / 以天為單位逼近容量,2026-03-02 23:55:00
R,upstream_partial_outage,port-id7428,2026-03-02 09:30,31,上游部分失效 / 流量驟降且重傳上升 (單邊上界看不到),2026-03-02 12:00:00
L,optical_degradation_failover,port-id7427,2026-03-02 14:00,48,"光路劣化引發下游重傳風暴與主備切換 / 慢相自 2026-02-21 起錯誤率逐日爬升 (未標記), 下游 port-id7429 與 port-id7431 的流量經重傳耦合落後跟漲, 根因 port-id7427, port-id7428 全程安靜",2026-03-02 17:55:00
